Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
1707,VMCU-PHC Diwalipura,VADODARA,"Opp. Ward-11 Office, Makarand Desai Road, Near Swaminarayan Temple, Diwalipura, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1708,VMCU-PHC Ektanagar,VADODARA,"Near Water Tank, Tp-13, Chhani Jakatnaka,Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1709,VMCU-PHC Fatepura,VADODARA,"Near Mahakaali Temple, Mangleswar Zapa, Fatepura, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1710,VMCU-PHC Gajarawadi,VADODARA,"Near Prakruri Tenament, Opp Skymark, Behind Ram Vatika- Gajrawadi, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1711,VMCU-PHC gokulnagar,VADODARA,"Old Corporation School, Gaytrinagar, Gotri, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1712,VMCU-PHC gorwa,VADODARA,"Opp. Patel Wadi, Gorwa Village, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1713,VMCU-PHC Gotri,VADODARA,"Near Ranchhodray Temple, Opp. Gotri Lake, Gotri Village, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1714,VMCU-PHC jetalpur,VADODARA,"Shiwaji Pura, Opp. Sub-Registrar Office, Akota, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1715,VMCU-PHC Jubeelibaug,VADODARA,"Near Mahatma Gandhi Nagar Gruh, Jubeelibaug."," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1716,VMCU-PHC kapurai,VADODARA,"Old Jakatnaka, B/H Soma Talav, Near Dabhoi Bypass, Dabhoi Road, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1717,VMCU-PHC karelibaug,VADODARA,"Baroda Rotary Club Service Centre, Vidyanandjee Chock, Rana Vaas, Navi Dharti, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1718,VMCU-PHC Kishanwadi,VADODARA,"Community Hall, Near Gujarat Housing Board, Ajwa Road, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1719,VMCU-PHC Makarpura,VADODARA,"Opp. Makarpura Garden, Makarpura Village, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1720,VMCU-PHC Maneja,VADODARA,"Opp. Siemens Company, Maneja Main Road, Maneja, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1721,VMCU-PHC Manjalpur,VADODARA,"Gajanand Society, Near Shakuntal Flat, Manjalpur Village Main Road, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1722,VMCU-PHC Navapura,VADODARA,"Nr. Patthar Gate Police Chowki, Deepak Open Theatre, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1723,VMCU-PHC Navayard,VADODARA,"Gareeb Navaz Park, Ren Basera, B/H Deep Multiplex,Chhani Jakatnaka, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1724,VMCU-PHC Navidharati,VADODARA,"New Ward Office-8, Near Lok Satta Press, Navidharti, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1725,VMCU-PHC Ramdevnagar,VADODARA,"A-10, Narayan Kunj Society, Opp. Sahaj School, B/H Pancham Parti Plot, Ajwa Road, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1726,VMCU-PHC Sama,VADODARA,"Near Ayappa Temple Ground, Sama, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1727,VMCU-PHC Sawad,VADODARA,"Dhawal Hospital Cross Road, Harni Warasiya Ring Road, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1728,VMCU-PHC Shiyabaug,VADODARA,"Ward No 5, B/H Market, Siyabaug Char Rasta, Navapura, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1729,VMCU-PHC subhanapura,VADODARA,"Opp. Ward-10 Office, Near Subhanpura Garden, Hari Om Nagar, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1730,VMCU-PHC Sudamapuri,VADODARA,"Old Ward Office-9, Opp. Harish Petrol Pump, Near Paani Gate, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1731,VMCU-PHC Tandalaja,VADODARA,"50, Patrakaar Colony, Tandalja, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1732,VMCU-PHC Tarsali,VADODARA,"Sharad Nagar Shopping Centre, B/H Post Office, Tarshali, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1733,VMCU-PHC Vadsar,VADODARA,"Ward-12 Office, Gidc Vadsar Road, Vadsar, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1734,VMCU-PHC Warasiya,VADODARA,"Dhawal Hospital Cross Road, Harni Warasiya Ring Road, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1735,VMCU-PHC Yamunamil,VADODARA,"Old Ward No-3 Office, Harankhana Road, Opp-Water Tank, Wadi, Vadodara"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1736,CHC Atgam,VALSAD,Chc Atgam Valsad," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1737,CHC Dungri,VALSAD,Chc Dungri Taluka District Valsad," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1738,CHC Pindval,VALSAD,Chc Pindval Tluko Dharampur Dist Valsad," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1739,CHC ROHINA,VALSAD,Rh  Chc Rohina Taluka Pardi Valsad," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
1740,GMERS MEDICAL COLLEGE HOSPITAL,VALSAD,Halar Road Nanakwada Valsad," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
1741,Primary Health Centre Anklas,VALSAD,PHC Anklachh Dadripada Pin code:-396105," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1742,Primary Health Centre Aslona,VALSAD,At Aslona Post Vadoli Tal Kaprada Dist Valsad 396065," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1743,Primary Health Centre Balda,VALSAD,Balda desai faliya near gram panchayat," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1744,Primary Health Centre Bhadeli,VALSAD,phc chhiri opp. Chhiri grampanchayat mahadev nagar chhiri vapi," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1745,Primary Health Centre Bhensdara,VALSAD,phcbhesdara nishal falia," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1746,Primary Health Centre Chanvai,VALSAD,At & Pos.Chanvai," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1747,Primary Health Centre Chhiri,VALSAD,phc chhiri opp. Chhiri grampanchayat mahadev nagar chhiri vapi," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1748,Primary Health Centre Dabkhal,VALSAD,"At.Post.Dabkhal Ta. Kaprada,Dist. Valsad.396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1749,Primary Health Centre Dahikhed,VALSAD,"At post Dahikhed Ta. Kaprada,Dist. Valsad.396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1750,Primary Health Centre Dehari,VALSAD,M.O.P.H.C DAHERI TA.UMBERGAON' DAHERIKAMARVAD," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1751,Primary Health Centre Dhamni,VALSAD,"Phc Dhamni AT & PO DHAMNI,Ta-Dharamapur Di Valsad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1752,Primary Health Centre Dharasana,VALSAD,At & Post Dharasana Tal & dist Valsad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1753,Primary Health Centre Fansa,VALSAD,PHC Fansa-Kalgam Medhi Faliya Fansa Pin Code:- 396 140," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1754,Primary Health Centre Goima,VALSAD,PHC Goima TA-Pardi Dist.-Valsad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1755,Primary Health Centre Gorgam,VALSAD,"Gorgam, vad Falia"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1756,Primary Health Centre Hanmatmal,VALSAD,"Phc Hanmatmal AT & PO Hanmatmal,Ta-Dharamapur Di Valsad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1757,Primary Health Centre Haria,VALSAD,Dungarwadi char rasta," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1758,Primary Health Centre Jamliya,VALSAD,"Phc Jamliya AT- POST Jamliya, Ta dharamapur, Dist Valsad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1759,Primary Health Centre Kakadkuva,VALSAD,PHC Kakadkuva AT-POST KAKADKUVA DADARIFALIYA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1760,Primary Health Centre Kanjan Ranchhod,VALSAD,vanki katha," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1761,Primary Health Centre Karvad,VALSAD,"Karvad, Vapi, Gujarat 396191"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1762,Primary Health Centre Khattalvada,VALSAD,NEAR J.G SARVAJNIK HIGHSCHOOL KHATTALWADA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1763,Primary Health Centre Koparli,VALSAD,Phc Koparli Behind Koparli Mukhya Shala," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1764,Primary Health Centre Lavkar,VALSAD,"At.Post Varavat .Lavkar ,Ta.kaprada,Dist.Valsad.396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1765,Primary Health Centre MAGOD,VALSAD,VAD FALIYA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1766,Primary Health Centre Manala,VALSAD,"At.Post.Manala Ta. Kaprada,Dist. Valsad.396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1767,Primary Health Centre Mandva,VALSAD,"AT. Post. Mandva, Mishal Faliya, Ta. Kaprada, Dist. Valsad-396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1768,Primary Health Centre Maroli,VALSAD,Maroli," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1769,Primary Health Centre Mohnakavchali,VALSAD,"Phc Mohnakavchali AT & PO Mohnakavchali,Ta-Dharamapur Di Valsad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1770,Primary Health Centre Mota waghchhipa,VALSAD,phc motavaghchipa near nishal falia," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1771,Primary Health Centre Motapondha,VALSAD,"Gamtal Faliya,Opp.Gram Panchayat,Motapondha"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1772,Primary Health Centre Nani tambadi,VALSAD,kevda faliya nani tambadi near jalaram highschool," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1773,Primary Health Centre Nanidholdungari,VALSAD,"AT. NANIDHOLDUNGARI ,DADARI FALIYA TA DHARAMPUR DIST VALSAD"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1774,Primary Health Centre Narvad,VALSAD,"AT NARVAD PO CHAVSHALA TA.KAPRADA,DIST VALSAD-396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1775,Primary Health Centre Orwad,VALSAD,"At. Po. orwad Udwada (R.S.) taluka pardi, Dist. valsad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1776,Primary Health Centre Paria,VALSAD,Paria Haran Faliya Ta- Pardi Dist-Valsad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1777,Primary Health Centre Rohiyal jungal,VALSAD,"At.Post.Rohiyal Jungle Ta. Kaprada,Dist. Valsad.396065"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
1778,Primary Health Centre Sanjan,VALSAD,"PHC Sanjan,Near S.G.Dakle High School,Ta-Umargam,Dist-Valsad "," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
